id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2026-01-06,22,-4.4,1,260,89.2,0.01,1016.2
12600,"Bielsko Biała",2026-01-06,22,-5.4,0,0,78.1,0,1017.8
12235,Chojnice,2026-01-06,22,-6.8,2,200,94.0,0.01,1016.7
12550,Częstochowa,2026-01-06,22,-7.4,1,290,89.7,0,1018.1
12160,Elbląg,2026-01-06,22,-9.4,4,220,94.6,0.01,1015.9
12155,Gdańsk,2026-01-06,22,-7.4,3,170,89.0,0.01,1015.3
12300,Gorzów,2026-01-06,22,-6.1,2,210,94.0,0.01,1017
12135,Hel,2026-01-06,22,-1.9,5,270,88.1,0.01,1014.4
12500,"Jelenia Góra",2026-01-06,22,-8.2,1,30,86.1,0,1019
12435,Kalisz,2026-01-06,22,-6.5,1,240,87.0,0,1018.1
12650,"Kasprowy Wierch",2026-01-06,22,-13.7,7,30,86.9,2.7,
12560,Katowice,2026-01-06,22,-6.6,1,220,87.6,0,1018.3
12185,Kętrzyn,2026-01-06,22,-8.5,2,180,91.0,0.01,1016
12570,Kielce,2026-01-06,22,-5.3,1,330,78.7,0,1017.7
12520,Kłodzko,2026-01-06,22,-10.3,0,0,88.7,0,1019.6
12345,Koło,2026-01-06,22,-6.9,2,270,92.5,0,1016.5
12100,Kołobrzeg,2026-01-06,22,-3.1,3,160,88.6,0.2,1015.6
12105,Koszalin,2026-01-06,22,-4.2,2,200,89.9,0.01,1015.6
12488,Kozienice,2026-01-06,22,-5.5,1,280,81.2,0,1017.8
12566,Kraków,2026-01-06,22,-4.6,1,210,92.7,0,1017.7
12670,Krosno,2026-01-06,22,-4.9,2,340,92.7,1.9,1017
12415,Legnica,2026-01-06,22,-3.5,2,250,77.8,0,1017.7
12690,Lesko,2026-01-06,22,-5.3,1,320,94.1,5,1016.9
12418,Leszno,2026-01-06,22,-3.1,2,240,86.0,0,1017.6
12125,Lębork,2026-01-06,22,-6.6,2,190,93.3,0.01,1015
12495,Lublin,2026-01-06,22,-5.6,2,310,89.8,0.01,1017.4
12120,Łeba,2026-01-06,22,-5.1,4,210,89.8,0.01,1014.8
12465,Łódź,2026-01-06,22,-12,0,0,90.7,0,1018.4
12280,Mikołajki,2026-01-06,22,-7.7,3,240,89.6,0.01,1016.3
12270,Mława,2026-01-06,22,-13.8,0,0,87.6,0,1017.7
12660,"Nowy Sącz",2026-01-06,22,-4.4,1,350,92.7,0.01,1017
12272,Olsztyn,2026-01-06,22,-9.4,2,200,90.2,0,1016.5
12530,Opole,2026-01-06,22,-8.7,0,0,90.3,0,1018.2
12285,Ostrołęka,2026-01-06,22,-10.6,1,200,90.8,0.3,1016
12230,Piła,2026-01-06,22,-6.5,1,220,89.7,0.01,1017.1
12001,Platforma,2026-01-06,22,1.5,5,290,60.8,0,1013.3
12360,Płock,2026-01-06,22,-10.1,1,190,93.8,0,1017.7
12330,Poznań,2026-01-06,22,-4.3,0,0,89.9,0.01,1017.3
12695,Przemyśl,2026-01-06,22,-4.4,1,99,90.6,3,1016.9
12540,Racibórz,2026-01-06,21,-6.6,3,300,84.9,0,1018.2
12210,Resko,2026-01-06,22,-4.8,3,190,93.4,0,1015.5
12580,Rzeszów,2026-01-06,22,-4.3,1,360,91.3,0.3,1017.3
12585,Sandomierz,2026-01-06,22,-4.5,2,320,97.0,0,1017.4
12385,Siedlce,2026-01-06,22,-6.6,1,250,87.0,0,1017.5
12310,Słubice,2026-01-06,22,-8.9,2,140,91.0,0,1017.3
12469,Sulejów,2026-01-06,22,-9.2,1,130,90.9,0,1018.2
12195,Suwałki,2026-01-06,22,-6.5,3,240,93.3,0,1015.8
12205,Szczecin,2026-01-06,22,-4.9,3,210,91.9,0.01,1016.2
12215,Szczecinek,2026-01-06,22,-4.9,2,99,91.2,0,1016.5
12510,Śnieżka,2026-01-06,22,-13.2,4,350,89.9,0.2,
12200,Świnoujście,2026-01-06,22,-4.5,2,170,92.7,0.2,1015.2
12575,Tarnów,2026-01-06,22,-4.4,2,340,92.0,0.01,1017.5
12399,Terespol,2026-01-06,22,-4.6,1,280,83.2,1.1,1016.8
12250,Toruń,2026-01-06,22,-11.6,1,240,92.2,0.01,1017.5
12115,Ustka,2026-01-06,22,-5.7,5,200,92.6,0,1014.8
12375,Warszawa,2026-01-06,22,-8.7,1,270,93.9,0,1018
12455,Wieluń,2026-01-06,22,-8.5,1,270,88.9,0,1018.2
12497,Włodawa,2026-01-06,22,-4.6,2,290,87.8,1.3,1017.1
12424,Wrocław,2026-01-06,22,-4.4,1,260,78.8,0,1017.9
12625,Zakopane,2026-01-06,22,-7.7,1,30,89.6,1,
12595,Zamość,2026-01-06,22,-4.8,3,330,85.8,2.2,1016.9
12400,"Zielona Góra",2026-01-06,22,-3.9,1,240,85.9,0,1017.6
